ID,tribe_name
1,人类
2,巫女
3,魔法使
4,吸血鬼
5,妖怪
6,妖兽
7,妖精
8,灵魂
9,亡灵
10,幽灵
11,式神
12,玉兔
13,月之民
14,神格
15,神灵
16,八百万神
17,恶魔
18,狐
19,猫
20,兔
21,仙人
22,鬼
23,付丧神
24,河童
25,爱书家
26,贤者
27,半人半灵
28,月之使者
29,蓬莱人
30,药师
31,依代
32,天鹰神兔
33,僧侣
34,魔人
35,超能力
36,人偶
37,现人神
38,风祝
39,工程师
40,阿礼少女
41,女仆
42,姐姐
43,妹妹
44,春
45,月之关联者
46,冰
47,太阳关联者
48,星之关联者
49,花
50,毒
51,姬
52,幻想乡
53,博丽神社
54,异变解决者
55,魔法之森
56,收集家
57,主人
58,从者
59,红魔馆
60,室内派
61,使魔
62,幻想乡的贤者
63,大妖怪
64,冥界
65,白玉楼
66,半妖
67,剑士
68,野兽
69,妖怪之山
70,地上兔
71,迷途竹林
72,永远亭
73,魔法少女
74,药品
75,月之都
76,超人
77,命莲寺
78,四天王
79,人类村庄
80,学生
81,外界
82,秘封俱乐部
83,冷却
84,雾之湖
85,光
86,光之三妖精
87,无名之丘
88,守矢神社
89,蛙
90,水栖
91,玄武之泽
92,天狗
93,喧闹灵
94,鸦天狗
95,平行存在
96,神性
97,秋
98,觉
99,地底
100,旧地狱
101,地灵殿
102,音乐家
103,疫病神
104,贫穷神
105,不吉
106,半白泽
107,半人半兽
108,教师
109,山佬
110,狸
111,白狼天狗
112,暗
113,地狱
114,僵尸
115,死神
116,邪仙
117,神灵庙
118,月之仇敌
119,月之贤者
120,神兽
121,像
122,不死族
123,格斗家
124,宗教家
125,能乐
126,后户之国
127,天人
128,彼岸
129,三途川
130,太阳花田
131,夏
132,冬
133,獏
134,梦的世界
135,虎
136,天界
137,怨灵
138,圣人
139,尸解仙
140,虫
141,草根妖怪网络
142,鸟
143,狼女
144,狼女
145,小人
146,天邪鬼
147,雷
148,阎魔
149,道士
150,月面基地
151,月战型
152,机械
153,动物灵
154,畜生界
155,劲牙组
156,辉针城
157,龙之眷族
158,鬼杰组
159,高贵
160,财宝
161,帝都
162,阴阳玉
163,秘宝
164,武器
165,物体
166,鼠
167,无缘冢
168,灵长园
169,精灵
170,怪兽
171,魔界
172,虹龙洞
173,山童
174,秘天崖
175,商人
176,黑幕(LW)
177,大天狗
178,泳装
179,间隙
180,伪天棚
181,基底类型
182,地下废弃区
183,龙
184,座敷童子
185,醉魔
186,徒劳者
187,刚欲同盟
188,赛车手
189,螺旋类型
190,消失类型
191,恶灵
192,灵魔殿
193,红魔塔
194,旧都
195,龙宫使者
196,学生服
197,猿
198,远点存在
199,蛇
200,鬼之国
201,梦幻馆
202,梦幻世界
203,极点存在
204,油库里
205,文化之祭典
206,装甲
207,妖精乡
208,超胜负服
209,新年弹幕
210,黄泉醜女
211,探险家
212,銃火器
213,言语大师
214,超油库里
215,LIVE(LW)
216,凭依
217,母
218,UFO
219,鸟兽伎乐
220,护士
