kind,buff_id,sub_id,label
target,,0,场地
target,,1,自身
target,,2,己方全体
target,,3,敌方单体
target,,4,敌方全体
buff,1,,通常buff上升
sub,1,1,阳攻
sub,1,2,阳防
sub,1,3,阴攻
sub,1,4,阴防
sub,1,5,速度
sub,1,6,命中
sub,1,7,回避
sub,1,8,CRI攻击
sub,1,9,CRI防御
sub,1,10,CRI命中
sub,1,11,CRI回避
sub,1,12,注目
sub,1,13,单/全减伤
sub,1,102,阳攻&阳防
sub,1,103,阳攻&阴攻
sub,1,104,阳攻&阴防
buff,2,,通常buff下降
sub,2,1,阳攻
sub,2,2,阳防
sub,2,3,阴攻
sub,2,4,阴防
sub,2,5,速度
sub,2,6,命中
sub,2,7,回避
sub,2,8,CRI攻击
sub,2,9,CRI防御
sub,2,10,CRI命中
sub,2,11,CRI回避
sub,2,12,注目
sub,2,13,单/全减伤
buff,3,,体力回复
buff,4,,结界增加
buff,5,,灵力上升
buff,6,,附加结界异常
sub,6,1,燃烧
sub,6,2,冻结
sub,6,3,感电
sub,6,4,毒雾
sub,6,5,黑暗
buff,7,,瞬间效果
sub,7,1,昏迷
sub,7,2,粘滞
buff,8,,改变行动顺序
sub,8,1,加速(先行)
sub,8,2,蓄力(后行)
buff,9,,解除结界异常
buff,10,,解咒
buff,11,,被动减伤
sub,11,1,直接减伤
sub,11,2,阳性减伤
sub,11,3,阴性减伤
sub,11,4,满血减伤
sub,11,5,血量<25%减伤
buff,12,,弹种减伤
sub,12,1,通常弹
sub,12,2,镭射弹
sub,12,3,体术弹
sub,12,4,斩击弹
sub,12,5,动能弹
sub,12,6,流体弹
sub,12,7,能量弹
sub,12,8,御符弹
sub,12,9,光弹
sub,12,10,尖弹
sub,12,11,追踪弹
buff,13,,属性减伤
sub,13,1,日属性
sub,13,2,月属性
sub,13,3,火属性
sub,13,4,水属性
sub,13,5,木属性
sub,13,6,金属性
sub,13,7,土属性
sub,13,8,星属性
sub,13,9,无属性
buff,14,,种族减伤
sub,14,1,人类
sub,14,2,巫女
sub,14,3,魔法使
sub,14,4,吸血鬼
sub,14,5,妖怪
sub,14,6,妖兽
sub,14,7,妖精
sub,14,8,灵魂
sub,14,9,亡灵
sub,14,10,幽灵
sub,14,11,式神
sub,14,12,玉兔
sub,14,13,月之民
sub,14,14,神格
sub,14,15,神灵
sub,14,16,八百万神
sub,14,17,恶魔
sub,14,18,狐
sub,14,19,猫
sub,14,20,兔
sub,14,21,仙人
sub,14,22,鬼
sub,14,23,付丧神
sub,14,24,河童
sub,14,25,爱书家
sub,14,26,贤者
sub,14,27,半人半灵
sub,14,28,月之使者
sub,14,29,蓬莱人
sub,14,30,药师
sub,14,31,依代
sub,14,32,天鹰神兔
sub,14,33,僧侣
sub,14,34,魔人
sub,14,35,超能力
sub,14,36,人偶
sub,14,37,现人神
sub,14,38,风祝
sub,14,39,工程师
sub,14,40,阿礼少女
sub,14,41,女仆
sub,14,42,姐姐
sub,14,43,妹妹
sub,14,44,春
sub,14,45,月之关联者
sub,14,46,冰
sub,14,47,太阳关联者
sub,14,48,星之关联者
sub,14,49,花
sub,14,50,毒
sub,14,51,姬
sub,14,52,幻想乡
sub,14,53,博丽神社
sub,14,54,异变解决者
sub,14,55,魔法之森
sub,14,56,收集家
sub,14,57,主人
sub,14,58,从者
sub,14,59,红魔馆
sub,14,60,室内派
sub,14,61,使魔
sub,14,62,幻想乡的贤者
sub,14,63,大妖怪
sub,14,64,冥界
sub,14,65,白玉楼
sub,14,66,半妖
sub,14,67,剑士
sub,14,68,野兽
sub,14,69,妖怪之山
sub,14,70,地上兔
sub,14,71,迷途竹林
sub,14,72,永远亭
sub,14,73,魔法少女
sub,14,74,药品
sub,14,75,月之都
sub,14,76,超人
sub,14,77,命莲寺
sub,14,78,四天王
sub,14,79,人类村庄
sub,14,80,学生
sub,14,81,外界
sub,14,82,秘封俱乐部
sub,14,83,冷却
sub,14,84,雾之湖
sub,14,85,光
sub,14,86,光之三妖精
sub,14,87,无名之丘
sub,14,88,守矢神社
sub,14,89,蛙
sub,14,90,水栖
sub,14,91,玄武之泽
sub,14,92,天狗
sub,14,93,喧闹灵
sub,14,94,鸦天狗
sub,14,95,平行存在
sub,14,96,神性
sub,14,97,秋
sub,14,98,觉
sub,14,99,地底
sub,14,100,旧地狱
sub,14,101,地灵殿
sub,14,102,音乐家
sub,14,103,疫病神
sub,14,104,贫穷神
