character_id,character_name,name_cn,world_group,character_type,equipment_1a_id,equipment_1a_name,equipment_1a_ratio,equipment_2a_id,equipment_2a_name,equipment_2a_ratio,equipment_1b_id,equipment_1b_name,equipment_1b_ratio,equipment_2b_id,equipment_2b_name,equipment_2b_ratio,equipment_5_id,equipment_5_name,equipment_5_ratio
1001,博麗霊夢,博丽灵梦,L1,防御,380,凝眼怜花花亦友,1.138709677419355,390,异变神社,1.1497076023391815,380,凝眼怜花花亦友,1.138709677419355,390,异变神社,1.1497076023391815,369,业速,1.8602684706671175
1002,霧雨魔理沙,雾雨魔理沙,L1,攻击,380,凝眼怜花花亦友,1.0999999999999999,390,异变神社,1.106666666666667,380,凝眼怜花花亦友,1.0999999999999999,390,异变神社,1.106666666666667,390,异变神社,2.0177243570848566
1003,レミリア・スカーレット,蕾米莉亚·斯卡雷特,L1,技巧,390,异变神社,1.098461538461539,390,异变神社,1.0984615384615384,390,异变神社,1.098461538461539,390,异变神社,1.0984615384615384,622,追忆之爱,1.7230207162357483
1004,フランドール・スカーレット,芙兰朵露·斯卡雷特,L1,破坏,390,异变神社,1.0927536231884056,390,异变神社,1.0927536231884059,390,异变神社,1.0927536231884056,390,异变神社,1.0927536231884059,383,狂气的赤瞳,1.6265451075672983
1005,十六夜咲夜,十六夜咲夜,L1,速攻,390,异变神社,1.115837104072398,380,凝眼怜花花亦友,1.1079497907949794,390,异变神社,1.115837104072398,380,凝眼怜花花亦友,1.1079497907949794,312,黄泉有闲人,1.9290052441729644
1006,パチュリー・ノーレッジ,帕秋莉·诺蕾姬,L1,技巧,390,异变神社,1.0927536231884056,390,异变神社,1.092753623188406,390,异变神社,1.0927536231884056,390,异变神社,1.092753623188406,510,安闲惬意的神秘竹林,1.824651463966715
1007,紅美鈴,红美铃,L1,攻击,390,异变神社,1.104065040650407,380,凝眼怜花花亦友,1.108403361344538,390,异变神社,1.104065040650407,380,凝眼怜花花亦友,1.108403361344538,462,模拟二童子,1.649154284737315
1008,小悪魔,小恶魔,L1,干扰,390,异变神社,1.1024,390,异变神社,1.1024,390,异变神社,1.1024,390,异变神社,1.1024,490,PHANTOM PAIN,1.6177652929387523
1009,八雲紫,八云紫,L1,防御,380,凝眼怜花花亦友,1.138709677419355,380,凝眼怜花花亦友,1.1387096774193548,380,凝眼怜花花亦友,1.138709677419355,380,凝眼怜花花亦友,1.1387096774193548,265,人偶使与死灵使,2.0480025650283005
1010,西行寺幽々子,西行寺幽幽子,L1,攻击,380,凝眼怜花花亦友,1.093478260869565,380,凝眼怜花花亦友,1.0934782608695655,380,凝眼怜花花亦友,1.093478260869565,380,凝眼怜花花亦友,1.0934782608695655,371,砂糖点心和妹妹,1.857541400679829
1011,魂魄妖夢,魂魄妖梦,L1,攻击,390,异变神社,1.1103448275862071,380,凝眼怜花花亦友,1.111206896551724,390,异变神社,1.1103448275862071,380,凝眼怜花花亦友,1.111206896551724,489,时间界限,1.6160500506492308
1012,リリーホワイト,莉莉白,L1,回复,380,凝眼怜花花亦友,1.1121739130434785,380,凝眼怜花花亦友,1.1121739130434782,380,凝眼怜花花亦友,1.1121739130434785,380,凝眼怜花花亦友,1.1121739130434782,476,钓而不纲,1.9050287050818626
1013,八雲藍,八云蓝,L1,攻击,380,凝眼怜花花亦友,1.0969924812030079,380,凝眼怜花花亦友,1.0969924812030076,380,凝眼怜花花亦友,1.0969924812030079,380,凝眼怜花花亦友,1.0969924812030076,493,失落的祟神,2.107792535275642
1014,橙,橙,L1,速攻,380,凝眼怜花花亦友,1.1057377049180328,380,凝眼怜花花亦友,1.1057377049180326,380,凝眼怜花花亦友,1.1057377049180328,380,凝眼怜花花亦友,1.1057377049180326,359,月与十六夜,1.627170868347338
1015,鈴仙・優曇華院・イナバ,铃仙·优昙华院·因幡,L1,干扰,390,异变神社,1.118518518518518,380,凝眼怜花花亦友,1.1066115702479338,390,异变神社,1.118518518518518,380,凝眼怜花花亦友,1.1066115702479338,383,狂气的赤瞳,2.2393823340671166
1016,綿月豊姫,绵月丰姬,L1,攻击,390,异变神社,1.0853333333333333,390,异变神社,1.0853333333333335,390,异变神社,1.0853333333333333,390,异变神社,1.0853333333333335,476,钓而不纲,1.9882977339485883
1017,綿月依姫,绵月依姬,L1,速攻,390,异变神社,1.0901408450704222,390,异变神社,1.0901408450704229,390,异变神社,1.0901408450704222,390,异变神社,1.0901408450704229,505,魔賢者,1.6982073144584642
1018,八意永琳,八意永琳,L1,回复,390,异变神社,1.104918032786885,380,凝眼怜花花亦友,1.0860000000000003,390,异变神社,1.104918032786885,380,凝眼怜花花亦友,1.0860000000000003,368,与你重逢的奇迹之日,1.5805504162812212
1019,蓬莱山輝夜,蓬莱山辉夜,L1,技巧,380,凝眼怜花花亦友,1.0871621621621617,662,纵情起舞吧！,1.0832003926862197,380,凝眼怜花花亦友,1.0871621621621617,662,纵情起舞吧！,1.0832003926862197,623,世界第一,2.220047487698623
1020,藤原妹紅,藤原妹红,L1,技巧,380,凝眼怜花花亦友,1.098473282442748,380,凝眼怜花花亦友,1.0887707225523924,380,凝眼怜花花亦友,1.098473282442748,380,凝眼怜花花亦友,1.0887707225523924,575,地底大家庭,1.9834749431861896
1021,清蘭,清兰,L1,干扰,390,异变神社,1.1153153153153152,390,异变神社,1.1153153153153155,390,异变神社,1.1153153153153152,390,异变神社,1.1153153153153155,493,失落的祟神,2.0499706293422997
1022,鈴瑚,铃瑚,L1,支援,380,凝眼怜花花亦友,1.1316326530612244,380,凝眼怜花花亦友,1.1316326530612242,380,凝眼怜花花亦友,1.1316326530612244,380,凝眼怜花花亦友,1.1316326530612242,493,失落的祟神,2.0373180240651148
1023,レイセン,铃仙,L1,破坏,703,月戦型ソルジャーの新年,1.0,390,异变神社,1.1471264367816096,703,月戦型ソルジャーの新年,1.0,390,异变神社,1.1471264367816096,10,清廉正直的鸦天狗,1.0
1024,聖白蓮,圣白莲,L1,防御,454,南国冥界海鲜美食家,1.09578231292517,390,异变神社,1.170666666666667,454,南国冥界海鲜美食家,1.09578231292517,390,异变神社,1.170666666666667,619,慈爱黑寡妇(Maternal onyx widow),1.522959342286109
1025,茨木華扇,茨木华扇,L1,技巧,380,凝眼怜花花亦友,1.1003891050583658,380,凝眼怜花花亦友,1.1003891050583658,380,凝眼怜花花亦友,1.1003891050583658,380,凝眼怜花花亦友,1.1003891050583658,622,追忆之爱,1.6188382627231548
1026,本居小鈴,本居小铃,L1,破坏,390,异变神社,1.1,390,异变神社,1.1,390,异变神社,1.1,390,异变神社,1.1,431,诚如天人所言,2.0011921885015203
1029,稗田阿求,稗田阿求,L1,支援,380,凝眼怜花花亦友,1.0996138996139,380,凝眼怜花花亦友,1.0996138996138993,380,凝眼怜花花亦友,1.0996138996139,380,凝眼怜花花亦友,1.0996138996138993,476,钓而不纲,1.5354606542575358
1030,チルノ,琪露诺,L1,破坏,380,凝眼怜花花亦友,1.1151785714285714,390,异变神社,1.1094017094017095,380,凝眼怜花花亦友,1.1151785714285714,390,异变神社,1.1094017094017095,510,安闲惬意的神秘竹林,2.3211772537769755
1031,大妖精,大妖精,L1,支援,380,凝眼怜花花亦友,1.1612500000000001,329,特训后的豆奶,1.0,380,凝眼怜花花亦友,1.1612500000000001,329,特训后的豆奶,1.0,405,咲夜的纪念弹幕,1.0
1032,アリス・マーガトロイド,爱丽丝·玛格特罗依德,L1,技巧,390,异变神社,1.1185185185185187,390,异变神社,1.1185185185185185,390,异变神社,1.1185185185185187,390,异变神社,1.1185185185185185,265,人偶使与死灵使,1.828390277287007
